track_name,artists,danceability,energy,valence,tempo,acousticness,instrumentalness,loudness,speechiness,track_genre,lyrics,lyrics_sentiment,mood
Essence (feat. Tems),Wizkid;Tems,0.849,0.707,0.602,104.027,0.0266,8.58e-06,-6.002,0.113,dancehall,"Oh-na-na, garota, vamos aproveitar, woah
Oh-na-na, garota, venha provar a banana
Oh-na-na, garota, eu não vou te deixar ir embora
Oh-na-na, garota, vamos aproveitar, woah

Eu disse que iria te deixar de manhã, mas preciso de você agora, yeah, yeah
Eu te encontrei, te dou tudo o que você precisa, sei do que você gosta
Eu sinto isso chegando, o tempo é essencial
Eu tentei te ensinar, mas preciso de algumas lições
Eu preciso me entregar por completo, tentei ir еmbora, mas não consigo
Eu não sei por que você é o único que mе enlouquece

Você não precisa de outro alguém
Você não precisa de outro alguém
Só você pode segurar meu corpo
Só você pode segurar meu corpo
Você não precisa de outro alguém

Dizem que sou eu quem bagunça sua cabeça
E sou eu quem te faz relaxar a mente
Dizem que seu corpo fala comigo de um jeito especial
Dizem que é do meu amor que você precisa na sua vida
Nosso amor não é mentira
Vemos que estamos juntos, dia e noite
Se eu te deixar, você sofre
Se você me deixar, eu sofro (Oh, oh woah)
Estou acariciando seu corpo, baby, amando seu corpo, baby
Enquanto você dança, baby, tão louca
Estou amando seu corpo, baby, garota, você é minha
Eu só quero que você saiba, oh, woah, espero ficar sempre ao seu lado

Você não precisa de outro alguém
Você não precisa de outro alguém
Só você pode segurar meu corpo
Só você pode segurar meu corpo
Você não precisa de outro alguém

Baby, baby, todo mundo costumava dizer
Que ninguém te ama assim, ninguém te quer do mesmo jeito
Amor até de manhã, minha cabeça gira com o seu amor
Eu só quero te ter ao meu lado (Woah, woah, woah, woah)
Te dei tudo o que você precisa, te dei tudo o que você precisa
Te dei tudo, você me deu tudo o que eu preciso, te dei tudo o que você precisa
Vou te dar tudo o que você precisa, cada toque que precisar, vou te dar tudo
Vou te dar tudo o que você precisa, baby, yeah-yeah, yeah-yeah

Você não precisa de outro alguém
Você não precisa de outro alguém (Woah, woah, woah)
Só você pode segurar meu corpo
Só você pode segurar meu corpo (Yeah-yeah, yeah-yeah)
Você não precisa de outro alguém

Garota, eu te quero aqui, garota, eu te quero aqui
Prometo tratar seu amor com carinho, woah-woah, woah-woah
Quando nos tocamos, como nos conectamos, woah-woah, woah-woah
Eu digo que esse amor não tem arrependimentos, woah-woah, yeah-yeah",0.0,happy
We Know The Way - Finale,Lin-Manuel Miranda;Opetaia Foa'i,0.495,0.839,0.122,101.08,0.551,7.08e-06,-8.744,0.0529,show-tunes,"Aue, aue

We set a course to find
A brand-new island everywhere we roam

Aue, aue

We keep our island in our mind
And when it's time to find home, we know the way

Aue, aue

We are explorers reading every sign
We tell the stories of our elders in a never-ending chain

Aue, aue
Te fenua te malie
Nae ko hakilia

We know the way",0.0,sad
Eu Não Perdi o Controle (Ao Vivo),Samuel Messias,0.516,0.51,0.332,123.648,0.138,0.0,-9.462,0.0349,brazil,"Parece que está tudo bem
Pra todo mundo está tudo bem
Mas eu conheço o teu coração, hm
Conheço você por dentro
E por conhecer

Quantas vezes está sorrindo
Mas por dentro está chorando
Por fora tem a cicatriz
Mas por dentro está sangrando
Mas eu conheço o teu coração, hm
Conheço você por dentro

Antes de Eu começar
A Minha obra em sua vida
Lá no ventre da sua mãe
A sua história Eu já tinha escrito, filho
Só parece que é o fim e vai morrer
E o desespero toma conta do seu coração
Mas Eu não perdi, não
Mas Eu não perdi, não, o controle não

Eu não perdi o controle (não)
Eu não perdi o controle, não
Eu não perdi o controle
A sua história já estava escrita
E Eu não perdi o controle, não, não
Eu não perdi o controle, não
Eu não perdi o controle (não)

Eu não perdi o controle, não

Antes de Eu começar
A Minha obra em sua vida
Lá no ventre da sua mãe
A sua história Eu já tinha escrito, filho
Só parece que é o fim e vai morrer
E o desespero toma conta do seu coração
Mas Eu não perdi, não
Mas Eu não perdi, não
Mas Eu não perdi, não
Mas Eu não perdi, não
Mas Eu não perdi, não
Mas Eu não perdi, não

A sua história já estava escrita
E Eu não perdi o controle, não
Não perdi o controle (Ah, Eu não perdi)
Eu não perdi o controle, não (Uh)

Pode uma mãe se esquecer de um filho
Davi estava esquecido
Cuidando de ovelhas, estava esquecido
José estava esquecido
Na cisterna estava esquecido
Venderam ele, estava esquecido
No palácio estava esquecido
Na prisão estava esquecido
O paralítico estava esquecido
No tanque de Betesda estava esquecido
O cego Bartimeu estava esquecido
Em Jericó estava esquecido
O carpinteiro estava esquecido
Venderam Ele, estava esquecido
Prenderam Ele, estava esquecido
Deram uma cruz pra Ele, estava esquecido
Na via dolorosa estava esquecido
Crucificaram Ele, estava esquecido
No primeiro dia estava esquecido
No segundo dia estava esquecido
Mas no terceiro dia, Ele ressuscitou
No terceiro dia, Ele se levantou
E mandou eu vir aqui só para te dizer

Não perdi o controle, não
Eu não perdi o controle, não, não
Eu não perdi o controle, não
Eu não perdi o controle
Eu não perdi o controle, não
Eu não perdi o controle, não, não
Eu não perdi o controle, não
Eu não perdi o controle
E Eu não perdi o controle, não, não
Eu não perdi o controle, não
Eu não perdi o controle
Eu não perdi o controle, não
Eu não perdi o controle, não, não
Eu não perdi o controle, não
Eu não perdi, não, não, não, não

Eu não perdi, Eu não perdi
Só parece que está perdido
Só parece que está sem saída
Mas Eu não perdi, Eu não perdi
O controle ainda está em Minhas mãos
(A sua história já estava escrita) Eu não perdi
Eu não perdi o controle, não
Eu não perdi o controle, não
Eu não perdi, oh
Aleluia",0.0,sad
Maloqueiro Visionário,Mc IG;Mc Kanhoto,0.708,0.475,0.679,119.758,0.538,0.0,-4.394,0.206,funk,"Quem dizia que nois não ia conseguir
Com crítica negativa tentando deprimir
Tá de bajulação pra se redimir
Mas o lema é com vacilação nunca e unir
Enquanto existir, vou plantar perseverança
E superação em todo lugar que eu ir
A vida é louca e o sonho do louco é ser feliz
Peço ao pai paz aos que estão aqui e aos que veio a partir
Foda-se o loke que fica de tititi
Nois ta de jacaré e ele assombra juriti
Aposentei o hawaiana, vou de sorayama
Invejoso que falava mal hoje vai ter que ouvir
Que a favela win, tem combo de gin
Role pra la e pra ca de africa twin
E avisa quem quiser regredir Deus tá do lado e nois
Nunca ta parado, sempre em prol de evoluir
Ver os favelado fumando de maço
Contando de plano, pra recalcado é desacato
Antes tava escasso mas hoje é pataco e nois ta mudado
Maloqueiro visionário
Ver os favelado fumando de maço
Contando de plano, pra recalcado é desacato
Antes tava escasso mas hoje é pataco e nois ta mudado
Maloqueiro visionário
Meu truta eu to com a Deise
Com o MD Rosa, com a BM nova
Perdido na rave
Jogado na orla
Faz uns dias não deito na minha cama
Giroflex pousa, pois nois que conduz
Os foguete e
Amassa as piranha
Fumegando foragido
Correndo perigo se por acaso o cupido aparecer
Na minha contenção tem glock
E a munição é só bala dumdum já boto ele pra correr
Relaxa, relaxa, tá com os preto mais carto da city
Que é dono de marca, de loja, de concessionária
E seu sex appeal
No auge
Na contagem de uma forma absurda
Meu dinheiro vira peito, dente caro e cresce bunda
E pra quem não tinha nada
Hoje é o daddy das vagabunda
Vagabundo malandragem é viver
Pra coroa a firma é forte
Nois some por ai
Boa um salve da norte
É o IG, salve Kanhoto
Mando em SP, multiplica logo o torro
Ver os favelado fumando de maço
Contatando de plano, pra recalcado é desacato
Antes tava escasso mas hoje é pataco e nois ta mudado
Maloqueiro visionário
Ver os favelado fumando de maço
Contatando de plano, pra recalcado é desacato
Antes tava escasso mas hoje é pataco e nois ta mudado
Maloqueiro visionário",0.8,happy
Rock'n'roll Good-bye,Seiko Matsuda,0.718,0.911,0.872,136.93,0.0581,3.45e-05,-4.477,0.0463,j-idol,"悪いけど行くわね　バスが待ってるから
そんなにマジに　見送らないで
深刻ぶるのは　趣味じゃないのよ
都会の風にちょっぴり飽きただけ
わりと男前ね　彫りが深くってね
別れ間際に　気付いたりして
鞄が重いの　手がしびれそう
最後まで気のきかない　誰かさん
Bye-Bye-Bye Rock'n' roll Good-bye
洗いざらしのシャツで
Bye-Bye-Bye Rock'n' roll Good-bye
消えるわね
陽気な涙も　時にはいいわ
あなたのこと絶対に忘れない
Bye-Bye-Bye Rock'n' roll Good-bye
カウボーイ・ブーツが
Bye-Bye-Bye Rock'n' roll Good-bye
似合うでしょ
自由に愛して　自由に生きて
わがままな私のこと許してね
バンジョー鳴らして　紙テープ投げて
バスの窓から　キスを返すわ
あの娘がいないと　淋しいってね
あとで街中の人に　言われたい
手に負えない　Uh…
じゃじゃ馬が
消えるだけよ",0.0,happy
月曜日の朝、スカートを切られた,Keyakizaka46,0.503,0.847,0.571,103.996,0.368,0.0,-3.966,0.0369,j-idol,"OH OH OH…
どうして学校へ行かなきゃいけないんだ
真実を教えないならネットで知るからいい
友達を作りなさい スポーツをやりなさい
作り笑いの教師が見せかけの愛を謳(うた)う
反抗したいほど
熱いものもなく
受け入れてしまうほど
従順でもなく
あと何年だろう
ここから出るには…
大人になるため
嘘に慣れろ!
月曜日の朝、スカートを切られた
通学電車の誰かにやられたんだろう
どこかの暗闇でストレス溜め込んで
憂さ晴らしか
私は悲鳴なんか上げない
OH OH OH…
これから先もずっと電車は満員で
夢も希望もないのに各駅停車かい?
努力は報われますよ 人間は平等ですよ
幸せじゃない大人に説得力あるものか
死んでしまいたいほど
愚かにもなれず
生き永らえたいほど
楽しみでもない
もう持て余してる
残りの人生
目立たないように
息を止めろ!
誰もが
何かを
切られながら
生きている
よく晴れてた朝、スカートを切られた
無視された社会の隅に存在する孤独
自分はここにいる それだけ伝えたい
したり顔で
あんたは私の何を知る?
月曜日の朝、スカートを切られた
通学電車の誰かにやられたんだろう
どこかの暗闇でストレス溜め込んで
憂さ晴らしか
私は悲鳴なんか上げない
OH OH OH…",0.0,happy
A Plena Vista,Guaco,0.78,0.856,0.888,120.108,0.306,0.0,-6.371,0.0966,salsa,"Si yo fuera tu lo hubiera pensao 2 veces
Tu vida es publica tu has dicho y hecho
Mucha estupice
Ahora quieres ser ese que to la regla
Obedece parece que se te olvida de donde nombre viene
Bueno
Uno de ello como entre 5 que tiene
Tanto nombre dejan claro no tienes claro quien eres
Con razon lo difraces con que aparece
Cualquiera con tu pasado quisiera desaprecece
Que pa ti no ahy contricante taba diciendo en la rede
Tu por lo visto no tiene quien te aconseje
Y que ironica es la vida avece
El dotol fue tu manager no diagnostico to esa idiotece
Tu tiene la mima enfermedad que el Lapiz
Sindrome de hubris
Ahi es donde se que tu ere fragil
No por lo que aparentas si no por la forma en que te expresas
Piensas que eres un despredador de mente no estas muy estabil
Basicamente eres comida en la mesa yo el leon que te
Brecha y cuando no te lo sospechas te llego la fecha
Es por instinto de naturaleza mi modo de supervivencia esta ciencia es
Asi de facil
No me ve aunque a plena vista estoy oculto
No sabe que esperar con razon lo confundo razonamiento de 9 cerebros
Pasion de 3 corazone segun las
Descripciones en estas aguas soy un pulpo
Y yo no estoy participando en tu concurso
Yo nama vine a callate note que ta hablando mucho
Ahora no va reponde obvio porque yo no lo culpo
Cuando Goku llega nadie quiere medi el pulso
Me interesa el ahora no respeto trayectoria
Pa mi e normal a mata eto e raps sin Dedicatoria
Que el señor te tenga en la gloria
Nfasis descanza en paz hice esta con tu nombre en la memoria
Como Mayweather corriendo cualquiera gana yo
Vine pa matano pero asi quien se entuciasma
Modo Dan Aykroyd si el espiritud se te escapa
Despues de esta me apodaran el caza fantasma
Lo que saben saben rapiando ahy que dame banda ere de lo que habla
Duro y en el problema se manda la droga te dio en la madre yo
Vine a date en el alma lo mato y lo revivo Lazaro parate y anda
Tus letras dejan claro que te conformaste
Pero hablaste como que querias probarte
De guapo a pendejo mira en que te transformate
E verdad que tu no pierdes mira la que te ganaste
Traje barras que arrugan cara y dan calambre
Con una gana de comeme el mundo Inigualable
Una de tanta razone que hacen mi raps inolvidable
Como hacete entede tu no rapea con eta hambre
Tienes un pasado del cual no te alegras mucho
Alguien me dijo no juzgues basado en el presente tullo
Se mecia y decia tenia tanto orgullo
Pensaba que era invencible
